"sl_no","gender","ssc_p","hsc_p","hsc_s","degree_p","degree_t","workex","etest_p","status","salary"
"56","M","60.40","66.60","Science","65.00","Comm&Mgmt","No","71","Placed","220000"
"57","M","63.00","71.40","Commerce","61.40","Comm&Mgmt","No","68","Placed","240000"
"58","M","68.00","76.00","Commerce","74.00","Comm&Mgmt","No","80","Placed","360000"
"59","M","74.00","62.00","Science","68.00","Comm&Mgmt","No","74","Placed","268000"
"60","M","52.60","65.58","Science","72.11","Sci&Tech","No","57.6","Placed","265000"
"61","M","74.00","70.00","Science","72.00","Comm&Mgmt","Yes","60","Placed","260000"
"62","M","84.20","73.40","Commerce","66.89","Comm&Mgmt","No","61.6","Placed","300000"
"63","F","86.50","64.20","Science","67.40","Sci&Tech","No","59","Placed","240000"
"64","M","61.00","70.00","Commerce","64.00","Comm&Mgmt","No","68.5","Not Placed","0"
"65","M","80.00","73.00","Commerce","75.00","Comm&Mgmt","No","61","Placed","240000"
"66","M","54.00","47.00","Science","57.00","Comm&Mgmt","No","89.69","Not Placed","0"
"67","M","83.00","74.00","Science","66.00","Comm&Mgmt","No","68.92","Placed","275000"
"68","M","80.92","78.50","Commerce","67.00","Comm&Mgmt","No","68.71","Placed","275000"
"69","F","69.70","47.00","Commerce","72.70","Sci&Tech","No","79","Not Placed","0"
"70","M","73.00","73.00","Science","66.00","Sci&Tech","Yes","70","Placed","275000"
"71","M","82.00","61.00","Science","62.00","Sci&Tech","No","89","Placed","360000"
"72","M","75.00","70.29","Commerce","71.00","Comm&Mgmt","No","95","Placed","240000"
"73","M","84.86","67.00","Science","78.00","Comm&Mgmt","No","95.5","Placed","240000"
"74","M","64.60","83.83","Commerce","71.72","Comm&Mgmt","No","86","Placed","218000"
"75","M","56.60","64.80","Commerce","70.20","Comm&Mgmt","No","84.27","Placed","336000"
"76","F","59.00","62.00","Commerce","77.50","Comm&Mgmt","No","74","Not Placed","0"
"77","F","66.50","70.40","Arts","71.93","Comm&Mgmt","No","61","Placed","230000"
"78","M","64.00","80.00","Science","65.00","Sci&Tech","Yes","69","Placed","500000"
"79","M","84.00","90.90","Science","64.50","Sci&Tech","No","86.04","Placed","270000"
"80","F","69.00","62.00","Science","66.00","Sci&Tech","No","75","Not Placed","0"
"81","F","69.00","62.00","Commerce","69.00","Comm&Mgmt","Yes","67","Placed","240000"
"82","M","81.70","63.00","Science","67.00","Comm&Mgmt","Yes","86","Placed","300000"
"83","M","63.00","67.00","Commerce","74.00","Comm&Mgmt","No","82","Not Placed","0"
"84","M","84.00","79.00","Science","68.00","Sci&Tech","Yes","84","Placed","300000"
"85","M","70.00","63.00","Science","70.00","Sci&Tech","Yes","55","Placed","300000"
"86","F","83.84","89.83","Commerce","77.20","Comm&Mgmt","Yes","78.74","Placed","400000"
"87","M","62.00","63.00","Commerce","64.00","Comm&Mgmt","No","67","Placed","220000"
"88","M","59.60","51.00","Science","60.00","Others","No","75","Not Placed","0"
"89","F","66.00","62.00","Commerce","73.00","Comm&Mgmt","No","58","Placed","210000"
"90","F","84.00","75.00","Science","69.00","Sci&Tech","Yes","62","Placed","210000"
"91","F","85.00","90.00","Commerce","82.00","Comm&Mgmt","No","92","Placed","300000"
"92","M","52.00","57.00","Commerce","50.80","Comm&Mgmt","No","67","Not Placed","0"
"93","F","60.23","69.00","Science","66.00","Comm&Mgmt","No","72","Placed","230000"
"94","M","52.00","62.00","Commerce","54.00","Comm&Mgmt","No","72","Not Placed","0"
"95","M","58.00","62.00","Commerce","64.00","Comm&Mgmt","No","53.88","Placed","260000"
"96","M","73.00","78.00","Commerce","65.00","Comm&Mgmt","Yes","95.46","Placed","420000"
"97","F","76.00","70.00","Science","76.00","Comm&Mgmt","Yes","66","Placed","300000"
"98","F","70.50","62.50","Commerce","61.00","Comm&Mgmt","No","93.91","Not Placed","0"
"99","F","69.00","73.00","Commerce","65.00","Comm&Mgmt","No","70","Placed","220000"
"100","M","54.00","82.00","Commerce","63.00","Sci&Tech","No","50","Not Placed","0"
"101","F","45.00","57.00","Commerce","58.00","Comm&Mgmt","Yes","56.39","Not Placed","0"
"102","M","63.00","72.00","Commerce","68.00","Comm&Mgmt","No","78","Placed","380000"
"103","F","77.00","61.00","Commerce","68.00","Comm&Mgmt","Yes","57.5","Placed","300000"
"104","M","73.00","78.00","Science","73.00","Sci&Tech","Yes","85","Placed","240000"
"105","M","69.00","63.00","Science","65.00","Comm&Mgmt","Yes","55","Placed","360000"
"106","M","59.00","64.00","Science","58.00","Sci&Tech","No","85","Not Placed","0"
"107","M","61.08","50.00","Science","54.00","Sci&Tech","No","71","Not Placed","0"
"108","M","82.00","90.00","Commerce","83.00","Comm&Mgmt","No","80","Placed","200000"
"109","M","61.00","82.00","Commerce","69.00","Comm&Mgmt","No","84","Placed","300000"
"110","M","52.00","63.00","Science","65.00","Sci&Tech","Yes","86","Not Placed","0"
"111","F","69.50","70.00","Science","72.00","Sci&Tech","No","57.2","Placed","250000"
"112","M","51.00","54.00","Science","61.00","Sci&Tech","No","60","Not Placed","0"
"113","M","58.00","61.00","Commerce","61.00","Comm&Mgmt","No","58","Placed","250000"
"114","F","73.96","79.00","Commerce","67.00","Comm&Mgmt","No","72.15","Placed","280000"
"115","M","65.00","68.00","Science","69.00","Comm&Mgmt","No","53.7","Placed","250000"
"116","F","73.00","63.00","Science","66.00","Comm&Mgmt","No","89","Placed","216000"
"117","M","68.20","72.80","Commerce","66.60","Comm&Mgmt","Yes","96","Placed","300000"
"118","M","77.00","75.00","Science","73.00","Sci&Tech","No","80","Placed","240000"
"119","M","76.00","80.00","Science","78.00","Sci&Tech","Yes","97","Placed","276000"
"120","M","60.80","68.40","Commerce","64.60","Comm&Mgmt","Yes","82.66","Placed","940000"
"121","M","58.00","40.00","Science","59.00","Comm&Mgmt","No","73","Not Placed","0"
"122","F","64.00","67.00","Science","69.60","Sci&Tech","Yes","55.67","Placed","250000"
"123","F","66.50","66.80","Arts","69.30","Comm&Mgmt","Yes","80.4","Placed","236000"
"124","M","74.00","59.00","Commerce","73.00","Comm&Mgmt","Yes","60","Placed","240000"
"125","M","67.00","71.00","Science","64.33","Others","Yes","64","Placed","250000"
"126","F","84.00","73.00","Commerce","73.00","Comm&Mgmt","No","75","Placed","350000"
"127","F","79.00","61.00","Science","75.50","Sci&Tech","Yes","70","Placed","210000"
"128","F","72.00","60.00","Science","69.00","Comm&Mgmt","No","55.5","Placed","250000"
"129","M","80.40","73.40","Science","77.72","Sci&Tech","Yes","81.2","Placed","400000"
"130","M","76.70","89.70","Commerce","66.00","Comm&Mgmt","Yes","90","Placed","250000"
"131","M","62.00","65.00","Commerce","60.00","Comm&Mgmt","No","84","Not Placed","0"
"132","F","74.90","57.00","Science","62.00","Others","Yes","80","Placed","360000"
"133","M","67.00","68.00","Commerce","64.00","Comm&Mgmt","Yes","74.4","Placed","300000"
"134","M","73.00","64.00","Commerce","77.00","Comm&Mgmt","Yes","65","Placed","250000"
"135","F","77.44","92.00","Commerce","72.00","Comm&Mgmt","Yes","94","Placed","250000"
"136","F","72.00","56.00","Science","69.00","Comm&Mgmt","No","55.6","Placed","200000"
"137","F","47.00","59.00","Arts","64.00","Comm&Mgmt","No","78","Not Placed","0"
"138","M","67.00","63.00","Commerce","72.00","Comm&Mgmt","No","56","Placed","225000"
"139","F","82.00","64.00","Science","73.00","Sci&Tech","Yes","96","Placed","250000"
"140","M","77.00","70.00","Commerce","59.00","Comm&Mgmt","Yes","58","Placed","220000"
"141","M","65.00","64.80","Commerce","69.50","Comm&Mgmt","Yes","56","Placed","265000"
"142","M","66.00","64.00","Science","60.00","Comm&Mgmt","No","60","Not Placed","0"
"143","M","85.00","60.00","Science","73.43","Sci&Tech","Yes","60","Placed","260000"
"144","M","77.67","64.89","Commerce","70.67","Comm&Mgmt","No","89","Placed","300000"
"145","M","52.00","50.00","Arts","61.00","Comm&Mgmt","No","60","Not Placed","0"
"146","M","89.40","65.66","Science","71.25","Sci&Tech","No","72","Placed","400000"
"147","M","62.00","63.00","Science","66.00","Comm&Mgmt","No","85","Placed","233000"
"148","M","70.00","74.00","Commerce","65.00","Comm&Mgmt","No","83","Placed","300000"
"149","F","77.00","86.00","Arts","56.00","Others","No","57","Placed","240000"
"150","M","44.00","58.00","Arts","55.00","Comm&Mgmt","Yes","64.25","Not Placed","0"
"151","M","71.00","58.66","Science","58.00","Sci&Tech","Yes","56","Placed","690000"
"152","M","65.00","65.00","Commerce","75.00","Comm&Mgmt","No","83","Placed","270000"
"153","F","75.40","60.50","Science","84.00","Sci&Tech","No","98","Placed","240000"
"154","M","49.00","59.00","Science","65.00","Sci&Tech","Yes","86","Placed","340000"
"155","M","53.00","63.00","Science","60.00","Comm&Mgmt","Yes","70","Placed","250000"
"156","M","51.57","74.66","Commerce","59.90","Comm&Mgmt","Yes","56.15","Not Placed","0"
"157","M","84.20","69.40","Science","65.00","Sci&Tech","Yes","80","Placed","255000"
"158","M","66.50","62.50","Commerce","60.90","Comm&Mgmt","No","93.4","Placed","300000"
"159","M","67.00","63.00","Science","64.00","Sci&Tech","No","60","Not Placed","0"
"160","M","52.00","49.00","Commerce","58.00","Comm&Mgmt","No","62","Not Placed","0"
"161","M","87.00","74.00","Science","65.00","Sci&Tech","Yes","75","Placed","0"
"162","M","55.60","51.00","Commerce","57.50","Comm&Mgmt","No","57.63","Not Placed","0"
"163","M","74.20","87.60","Commerce","77.25","Comm&Mgmt","Yes","75.2","Placed","285000"
"164","M","63.00","67.00","Science","64.00","Sci&Tech","No","75","Placed","500000"
"165","F","67.16","72.50","Commerce","63.35","Comm&Mgmt","No","53.04","Placed","250000"
"166","F","63.30","78.33","Commerce","74.00","Comm&Mgmt","No","80","Not Placed","0"
"167","M","62.00","62.00","Commerce","60.00","Comm&Mgmt","Yes","63","Placed","240000"
"168","M","67.90","62.00","Science","67.00","Sci&Tech","Yes","58.1","Not Placed","0"
"169","F","48.00","51.00","Commerce","58.00","Comm&Mgmt","Yes","60","Not Placed","0"
"170","M","59.96","42.16","Science","61.26","Sci&Tech","No","54.48","Not Placed","0"
"171","F","63.40","67.20","Commerce","60.00","Comm&Mgmt","No","58.06","Not Placed","0"
"172","M","80.00","80.00","Commerce","72.00","Comm&Mgmt","Yes","63.79","Placed","290000"
"173","M","73.00","58.00","Commerce","56.00","Comm&Mgmt","No","84","Placed","300000"
"174","F","52.00","52.00","Science","55.00","Sci&Tech","No","67","Not Placed","0"
"175","M","73.24","50.83","Science","64.27","Sci&Tech","Yes","64","Placed","500000"
"176","M","63.00","62.00","Science","65.00","Sci&Tech","No","87.5","Not Placed","0"
"177","F","59.00","60.00","Commerce","56.00","Comm&Mgmt","No","55","Placed","220000"
"178","F","73.00","97.00","Commerce","79.00","Comm&Mgmt","Yes","89","Placed","650000"
"179","M","68.00","56.00","Science","68.00","Sci&Tech","No","73","Placed","350000"
"180","F","77.80","64.00","Science","64.20","Sci&Tech","No","75.5","Not Placed","0"
"181","M","65.00","71.50","Commerce","62.80","Comm&Mgmt","Yes","57","Placed","265000"
"182","M","62.00","60.33","Science","64.21","Sci&Tech","No","63","Not Placed","0"
"183","M","52.00","65.00","Arts","57.00","Others","Yes","75","Not Placed","0"
"184","M","65.00","77.00","Commerce","69.00","Comm&Mgmt","No","60","Placed","276000"
"185","F","56.28","62.83","Commerce","59.79","Comm&Mgmt","No","60","Not Placed","0"
"186","F","88.00","72.00","Science","78.00","Others","No","82","Placed","252000"
"187","F","52.00","64.00","Commerce","61.00","Comm&Mgmt","No","55","Not Placed","0"
"188","M","78.50","65.50","Science","67.00","Sci&Tech","Yes","95","Placed","280000"
"189","M","61.80","47.00","Commerce","54.38","Comm&Mgmt","No","57","Not Placed","0"
"190","F","54.00","77.60","Commerce","69.20","Comm&Mgmt","No","95.65","Not Placed","0"
"191","F","64.00","70.20","Commerce","61.00","Comm&Mgmt","No","50","Not Placed","0"
"192","M","67.00","61.00","Science","72.00","Comm&Mgmt","No","72","Placed","264000"
"193","M","65.20","61.40","Commerce","64.80","Comm&Mgmt","Yes","93.4","Placed","270000"
"194","F","60.00","63.00","Arts","56.00","Others","Yes","80","Placed","300000"
"","M","52.00","55.00","Commerce","56.30","Comm&Mgmt","No","59","Not Placed","0"
"196","M","66.00","76.00","Commerce","72.00","Comm&Mgmt","Yes","84","Placed","275000"
"197","M","72.00","63.00","Science","77.50","Sci&Tech","Yes","78","Placed","250000"
"198","F","83.96","53.00","Science","91.00","Sci&Tech","No","59.32","Placed","0"
"199","F","67.00","70.00","Commerce","65.00","Others","No","88","Not Placed","0"
"200","M","69.00","65.00","Commerce","57.00","Comm&Mgmt","No","73","Placed","265000"
"201","M","69.00","60.00","Commerce","65.00","Comm&Mgmt","No","87.55","Placed","300000"
"202","M","54.20","63.00","Science","58.00","Comm&Mgmt","No","79","Not Placed","0"
"203","M","70.00","63.00","Science","66.00","Sci&Tech","No","61.28","Placed","240000"
"204","M","55.68","61.33","Commerce","56.87","Comm&Mgmt","No","66","Placed","260000"
"205","F","74.00","73.00","Commerce","73.00","Comm&Mgmt","Yes","80","Placed","210000"
"206","M","61.00","62.00","Commerce","65.00","Comm&Mgmt","No","62","Placed","250000"
"207","M","41.00","42.00","Science","60.00","Comm&Mgmt","No","97","Not Placed","0"
"208","M","83.33","78.00","Commerce","61.00","Comm&Mgmt","Yes","88.56","Placed","300000"
"209","F","43.00","60.00","Science","65.00","Comm&Mgmt","No","92.66","Not Placed","0"
"210","M","62.00","72.00","Commerce","65.00","Comm&Mgmt","No","67","Placed","216000"
"211","M","80.60","82.00","Commerce","77.60","Comm&Mgmt","No","91","Placed","400000"
"212","M","58.00","60.00","Science","72.00","Sci&Tech","No","74","Placed","275000"
"213","M","67.00","67.00","Commerce","73.00","Comm&Mgmt","Yes","59","Placed","295000"
"214","F","74.00","66.00","Commerce","58.00","Comm&Mgmt","No","70","Placed","204000"
"215","M","62.00","58.00","Science","53.00","Comm&Mgmt","No","89","Not Placed","0"
